q2,dBR/dq2,dBR/dq2_upper,dBR/dq2_lower
1.694384772062707,1.4165699432484201e-13,2.3718661063219976e-13,8.063150553539735e-14
1.7016333668439594,1.362065308484154e-13,2.280636578082003e-13,7.749247063794287e-14
1.708881961625212,1.3070677677337018e-13,2.1885769038560906e-13,7.432903409039635e-14
1.7161305564064646,1.2514685897287022e-13,2.0955054933094686e-13,7.113496098756727e-14
1.723379151187717,1.1951398563086425e-13,2.0012085970306945e-13,6.790293571973337e-14
1.7306277459689696,1.13792894641727e-13,1.9054310672232537e-13,6.46242506832748e-14
1.7378763407502222,1.0796508649090032e-13,1.807863508675143e-13,6.128837334347258e-14
1.7451249355314746,1.0200772955878269e-13,1.7081239432549453e-13,5.788232837730085e-14
1.752373530312727,9.589204998261563e-14,1.605730841587654e-13,5.438978881166694e-14
1.75962212509398,8.958087642351598e-14,1.500062000958648e-13,5.0789689989154125e-14
1.7668707198752325,8.302472868281724e-14,1.3902890357186316e-13,4.705402124307114e-14
1.7741193146564846,7.615523855919624e-14,1.2752671887981595e-13,4.3144110912966685e-14
1.7813679094377373,6.887328741020647e-14,1.153336660992218e-13,3.900392719693935e-14
1.78861650421899,6.102554964648091e-14,1.0219297699566286e-13,3.4546829578699e-14
1.7958650990002425,5.235168956383863e-14,8.76686633689724e-14,2.9625740554203954e-14
1.8031136937814949,4.233934085472594e-14,7.090264810933802e-14,2.3951211909292047e-14
1.8103622885627475,2.9652196143393374e-14,4.965698479349941e-14,1.676825367026995e-14
1.817610883344,0.0,0.0,0.0
